rivierkilometer;afstand;water level (+NAP);;breedte zomerbed;breedte winterbed;gem, diepte zomerbed;gem diepte zomerbed;gem, diepte winterbed;
867,06;867060;16,832;1683;222;134,72;13,51;1351;4,63;463
867,54;867540;16,786;1679;259;149,3;13,4;1340;5,18;518
868,05;868050;16,775;1678;264;294,19;13,24;1324;4,86;486
868,55;868550;16,717;1672;260;787,58;13,26;1326;2,57;257
869,06;869060;16,777;1678;260;1551,66;13,64;1364;3,35;335
869,6;869600;16,699;1670;249;1545,52;13,89;1389;2,56;256
870,12;870120;16,64;1664;259;1262,56;13,91;1391;2,69;269
870,63;870630;16,549;1655;282;993,07;13,34;1334;2,33;233
871,14;871140;16,45;1645;274;976,18;13,33;1333;1,96;196
871,64;871640;16,434;1643;260;1263,23;13,57;1357;2,39;239
872,14;872140;16,389;1639;260;1503,61;13,45;1345;2,3;230
872,67;872670;16,369;1637;257;1151,51;13,67;1367;3,49;349
873,19;873190;16,345;1635;256;1128,86;13,62;1362;4,04;404
873,68;873680;16,316;1632;256;1491,49;13,49;1349;3,48;348
874,2;874200;16,183;1618;259;1116,79;13,37;1337;2,49;249
874,76;874760;16,148;1615;256;1025,89;13,54;1354;3,4;340
875,29;875290;16,112;1611;263;1163,18;13,42;1342;3,55;355
875,8;875800;16,003;1600;260;603,41;13,29;1329;4,33;433
876,31;876310;15,937;1594;268;470,38;13,36;1336;5,14;514
876,83;876830;15,886;1589;274;486,62;13,28;1328;5,31;531
877,42;877420;15,864;1586;263;868,13;13,2;1320;4,41;441
878,04;878040;15,842;1584;257;1305,18;13,42;1342;3,86;386
878,58;878580;15,761;1576;264;781,16;13,36;1336;4,39;439
879,11;879110;15,764;1576;262;2407,7;13,61;1361;2,69;269
879,61;879610;15,753;1575;253;3070,98;13,67;1367;2,9;290
880,12;880120;15,692;1569;253;1142,96;13,68;1368;4,56;456
880,64;880640;15,589;1559;262;594,16;13,29;1329;4,9;490
881,16;881160;15,509;1551;271;532,78;13,12;1312;4,63;463
881,67;881670;15,475;1548;262;1711,96;13,32;1332;2,31;231
882,18;882180;15,421;1542;263;1605,6;13,42;1342;2,54;254
882,68;882680;15,399;1540;261;1029,85;13,4;1340;4,57;457
883,18;883180;15,236;1524;256;486,53;13,13;1313;4,69;469
883,71;883710;15,024;1502;255;246,45;12,83;1283;5,17;517
884,22;884220;14,826;1483;258;207,44;12,67;1267;4,71;471
884,73;884730;14,702;1470;259;321,84;12,63;1263;4,25;425
885,23;885230;14,663;1466;257;582,73;13,15;1315;4,18;418
885,73;885730;14,584;1458;262;513,17;13,08;1308;4,75;475
886,23;886230;14,595;1460;259;1025,09;13,23;1323;4,73;473
886,73;886730;14,552;1455;256;1016,12;13,33;1333;5,05;505
887,24;887240;14,543;1454;256;1480,74;13,37;1337;5,07;507
887,75;887750;14,465;1447;260;1018,49;12,98;1298;4,73;473
888,26;888260;14,456;1446;263;1347,64;12,96;1296;5,23;523
888,76;888760;14,365;1437;261;805,8;13,05;1305;5,1;510
889,25;889250;14,238;1424;259;685,43;13,05;1305;3,94;394
889,75;889750;14,153;1415;262;710,62;12,97;1297;3,8;380
890,26;890260;14,048;1405;263;645,33;12,7;1270;3,78;378
